,AFFGEOID,Zugeschnitten_area_full,Zugeschnitten_area_clipped,Anzahl_centers_in_counties
1933,0500000US18077,943010133.7260001,943.010.134,0
1934,0500000US18127,1090720807.786,1.090.720.808,0
1935,0500000US18131,1127309686.669,1.127.309.687,0
1936,0500000US36007,1855276722.7029998,1.038.092.053,0
1937,0500000US36011,,,0
1938,0500000US39065,1221270795.246,1.221.270.795,0
1939,0500000US39069,1088905460.75,1.088.905.461,0
1940,0500000US39071,1449115863.994,1.186.435.290,0
1941,0500000US39079,1094562186.581,22.597.889,0
1942,0500000US17019,2591669758.613,,1
1943,0500000US17023,1311227971.94,1.311.227.972,0
1944,0500000US17033,1157099385.149,1.153.362.032,0
1945,0500000US18139,1060483833.863,1.060.483.834,0
1946,0500000US18141,1196267502.56,1.196.267.503,2
1947,0500000US18149,810091621.3080001,810.091.621,0
1948,0500000US18155,580506526.315,580.506.526,0
1949,0500000US18169,1092511766.3839998,1.092.511.766,0
1950,0500000US36015,,,0
1951,0500000US36021,,,0
1952,0500000US39085,600027580.125,600.027.580,1
1953,0500000US39089,1784329177.975,1.784.329.178,0
1954,0500000US39099,1103174497.449,1.103.174.497,2
1955,0500000US17041,1083298819.762,1.083.298.820,0
1956,0500000US17051,1883978662.304,340.693.813,0
1957,0500000US17055,1121019794.318,1.121.019.794,0
1958,0500000US18163,613612679.099,613.612.679,2
1959,0500000US18165,674810584.55,674.810.585,0
1960,0500000US36027,,,0
1961,0500000US36039,,,0
1962,0500000US39103,1097543512.724,1.097.543.513,0
1963,0500000US39105,1124291110.872,1.124.291.111,0
1964,0500000US39117,1056716922.094,1.056.716.922,0
1965,0500000US17057,2290682566.659,,0
1966,0500000US17061,1418388887.855,1.415.651.955,0
1967,0500000US18173,1015918868.8260001,1.015.918.869,0
1968,0500000US19005,1707483820.1479998,1.380.139.905,0
1969,0500000US36041,,,0
1970,0500000US36093,,,0
1971,0500000US38011,,,0
1972,0500000US38015,4317025541.415999,,1
1973,0500000US38021,,,0
1974,0500000US17069,471894151.102,329.542.829,0
1975,0500000US17071,1025974024.5830001,483.485.420,0
1976,0500000US17075,2903420681.128,,0
1977,0500000US19013,1484830406.207,1.484.830.406,2
1978,0500000US19019,1486307783.184,1.486.307.783,0
1979,0500000US19023,1508316854.889,1.508.316.855,0
1980,0500000US19029,1465597745.424,852.587.461,0
1981,0500000US19037,1310997776.919,1.222.770.989,0
1982,0500000US36095,,,0
1983,0500000US36099,,,0
1984,0500000US37033,1114002104.911,1.114.002.105,0
1985,0500000US38033,,,0
1986,0500000US38039,1853115100.536,87.506.414,0
1987,0500000US38043,3707769209.828,1.516.291.911,0
1988,0500000US38047,2617060079.8,81.015.036,0
1989,0500000US17085,1603733150.73,1.603.733.151,0
1990,0500000US17089,1359857739.7810001,1.359.857.740,2
1991,0500000US19043,2055428698.7270002,1.795.520.750,0
1992,0500000US19047,1854488575.468,601.935.797,0
1993,0500000US19053,1384238126.269,210.463.132,0
1994,0500000US36109,,,0
1995,0500000US37003,685674815.324,643.419.366,0
1996,0500000US38049,,,0
1997,0500000US38063,2609271167.451,1.127.524.183,0
1998,0500000US38081,2245590251.645,140.395.863,0
1999,0500000US38087,,,0
2000,0500000US29107,1659750592.863,1.659.322.523,0
2001,0500000US29111,,,0
2002,0500000US31149,,,0
2003,0500000US31159,1494471062.072,1.494.471.062,0
2004,0500000US31165,,,0
2005,0500000US45037,1319192731.2419999,1.319.192.731,0
2006,0500000US51115,255175259.42200002,255.175.259,0
2007,0500000US27055,1474263032.256,1.474.263.032,0
2008,0500000US27059,1169476084.292,1.169.476.084,0
2009,0500000US27065,1381260495.611,685.081.165,0
2010,0500000US27083,1869102640.5839999,1.119.238.080,0
2011,0500000US29117,,,0
2012,0500000US29121,2109701353.694,178.983.851,0
2013,0500000US29131,1559102407.404,640.198.323,0
2014,0500000US31173,1027582458.345,1.027.582.458,0
2015,0500000US31175,1479854345.752,209.290.300,0
2016,0500000US31179,1149711017.89,1.110.536.582,0
2017,0500000US31183,,,0
2018,0500000US39127,1070848892.268,1.070.848.892,0
2019,0500000US39129,1315330379.822,1.315.330.380,0
2020,0500000US39133,1307799327.537,1.307.799.328,1
2021,0500000US27085,1309123055.1160002,1.276.106.099,0
2022,0500000US27093,1669793842.066,1.653.503.368,0
2023,0500000US27099,,,0
2024,0500000US27117,1207329719.46,1.207.329.719,0
2025,0500000US27121,1857092492.8079998,336.849.918,0
2026,0500000US29135,1088017331.519,1.088.017.332,0
2027,0500000US29141,1595059216.7329998,945.969.715,0
2028,0500000US29145,1629072997.3270001,1.629.072.997,0
2029,0500000US32017,27643056694.014,,0
2030,0500000US32021,,,0
2031,0500000US32027,15746463609.921001,355.578.492,0
2032,0500000US32029,684861676.227,684.861.676,0
2033,0500000US39143,1069867501.597,1.069.867.502,0
2034,0500000US39147,1434253786.0129998,1.434.253.786,0
2035,0500000US39151,1506639413.63,1.506.639.414,1
2036,0500000US27123,440492851.32199997,440.492.851,4
2037,0500000US27131,1336915947.95,1.336.915.948,0
2038,0500000US27135,,,0
2039,0500000US29147,2278731992.53,1.803.759.900,0
2040,0500000US29151,1593649441.419,1.361.366.804,0
2041,0500000US33001,,,0
2042,0500000US33005,,,0
2043,0500000US39153,1090147995.3960001,1.090.147.995,2
2044,0500000US39157,1483284715.29,1.483.284.715,0
2045,0500000US39165,1057567864.625,1.057.567.865,1
2046,0500000US27141,1167806630.591,1.167.806.631,0
2047,0500000US27147,1120202201.314,1.117.926.651,0
2048,0500000US27151,,,0
2049,0500000US29165,1109219323.022,1.109.219.323,0
2050,0500000US29169,,,0
2051,0500000US29175,1266626744.783,1.266.626.745,0
2052,0500000US35001,3038011066.2070003,,4
2053,0500000US35005,,,0
2054,0500000US35006,11822488904.092,,0
2055,0500000US35009,,,0
2056,0500000US39171,1097857904.461,1.097.857.904,0
2057,0500000US40001,1500914439.17,1.500.914.439,0
2058,0500000US40005,,,0
2059,0500000US40009,,,0
2060,0500000US27155,,,0
2061,0500000US27159,,,0
2062,0500000US27169,1662433097.093,1.662.433.097,0
2063,0500000US29185,1824128879.303,50.789.861,0
2064,0500000US29205,1304218830.053,68.994.552,0
2065,0500000US29211,,,0
2066,0500000US29215,,,0
2067,0500000US35013,9939135953.055,,1
2068,0500000US35028,284225834.165,284.225.834,0
2069,0500000US40019,2170102185.321,43.432.925,0
2070,0500000US40033,1671558765.437,1.671.558.765,0
2071,0500000US40037,2522696349.494,,0
2072,0500000US28005,1906462971.3579998,821.338.695,0
2073,0500000US28019,,,0
2074,0500000US29219,1137353701.312,1.137.353.701,0
2075,0500000US29221,1981113369.934,1.098.408.799,0
2076,0500000US29225,1543599975.8070002,1.543.599.976,0
2077,0500000US30017,,,0
2078,0500000US35031,14191027569.921999,,1
2079,0500000US35035,17261239883.406998,,0
2080,0500000US40039,,,0
2081,0500000US40043,,,0
2082,0500000US40047,2756519316.0020003,1.817.665.505,0
2083,0500000US40053,2609191478.085,282.609.575,0
2084,0500000US28025,,,0
2085,0500000US28031,1081188581.161,1.081.188.581,0
2086,0500000US28035,1225458576.193,1.225.458.576,1
2087,0500000US30021,,,0
2088,0500000US30025,,,0
2089,0500000US30037,3041971264.878,1.183.272.822,0
